Date,Model,Region,Units_Sold,Price_Per_Unit,Revenue,Expenses,Profit
2023-01-05,iPhone 15,West,11,90000,990000,691251.9829943822,298748.01700561785
2023-01-05,iPhone 14,South,15,90000,1350000,1103673.264373711,246326.73562628892
2023-01-05,iPhone 15,West,8,70000,560000,362492.9435328978,197507.0564671022
2023-01-06,iPhone 15,East,5,120000,600000,375225.57874553034,224774.42125446966
2023-01-06,iPhone 15,South,9,70000,630000,459666.6058860298,170333.39411397022
2023-01-07,iPhone 14,South,18,90000,1620000,1352469.8089754176,267530.19102458237
2023-01-07,iPhone 14,West,9,80000,720000,445471.70786485285,274528.29213514715
2023-01-07,iPhone 14,East,15,70000,1050000,728993.229345066,321006.770654934
2023-01-07,iPhone 13,West,1,120000,120000,74471.45217235232,45528.54782764768
2023-01-07,iPhone 15 Pro,East,3,90000,270000,181208.25293038998,88791.74706961002
2023-01-07,iPhone 13,West,16,90000,1440000,945828.8666058684,494171.13339413155
2023-01-07,iPhone 13,West,18,70000,1260000,894698.5873618502,365301.4126381498
2023-01-07,iPhone 15 Pro,East,6,70000,420000,342452.0317474565,77547.96825254348
2023-01-07,iPhone 15 Pro,East,6,70000,420000,345881.29783178447,74118.70216821553
2023-01-08,iPhone 13,West,17,70000,1190000,899217.1008408363,290782.8991591637
2023-01-08,iPhone 15 Pro,South,18,90000,1620000,1318823.1062694709,301176.8937305291
2023-01-08,iPhone 15,East,5,70000,350000,230665.04846725176,119334.95153274824
2023-01-08,iPhone 14,North,3,120000,360000,219640.11553107004,140359.88446892996
2023-01-08,iPhone 15 Pro,East,18,80000,1440000,979037.6626362263,460962.3373637737
2023-01-08,iPhone 15 Pro,East,7,120000,840000,629453.7671493022,210546.23285069782
2023-01-08,iPhone 15 Pro,East,2,80000,160000,110315.92342182591,49684.07657817409
2023-01-08,iPhone 14,East,1,70000,70000,50931.56961600509,19068.430383994913
2023-01-08,iPhone 15,South,15,90000,1350000,872474.1965193978,477525.8034806022
2023-01-09,iPhone 15,East,7,90000,630000,520113.50581713056,109886.49418286944
2023-01-09,iPhone 15,West,17,120000,2040000,1601037.7106606828,438962.28933931724
2023-01-09,iPhone 14,North,18,70000,1260000,763558.722927023,496441.27707297704
2023-01-10,iPhone 15,North,10,90000,900000,715948.7142399885,184051.28576001152
2023-01-10,iPhone 15,South,7,90000,630000,421922.1587161176,208077.8412838824
2023-01-10,iPhone 14,North,3,80000,240000,178234.24254782326,61765.75745217674
2023-01-10,iPhone 14,South,2,70000,140000,98648.07353284393,41351.92646715607
2023-01-10,iPhone 15,West,11,90000,990000,623645.1490211813,366354.8509788187
2023-01-10,iPhone 15 Pro,East,12,90000,1080000,695957.3512529046,384042.6487470954
2023-01-10,iPhone 14,North,17,80000,1360000,920075.3464535896,439924.6535464104
2023-01-10,iPhone 14,South,19,80000,1520000,1033474.399069144,486525.60093085596
2023-01-10,iPhone 14,East,8,80000,640000,391347.20897460205,248652.79102539795
2023-01-11,iPhone 15,North,2,80000,160000,135092.81220451908,24907.187795480917
2023-01-11,iPhone 15,North,13,70000,910000,682901.4105801317,227098.5894198683
2023-01-11,iPhone 15 Pro,East,16,70000,1120000,908175.0979879999,211824.9020120001
2023-01-11,iPhone 14,West,11,90000,990000,761936.1367456432,228063.86325435678
2023-01-11,iPhone 13,South,1,70000,70000,48727.5028286792,21272.4971713208
2023-01-12,iPhone 14,West,4,80000,320000,256428.61361294205,63571.38638705795
2023-01-12,iPhone 14,South,1,80000,80000,60888.60987029238,19111.390129707623
2023-01-12,iPhone 15 Pro,West,5,70000,350000,269423.67702257645,80576.32297742355
2023-01-12,iPhone 15,North,16,120000,1920000,1235550.785955508,684449.214044492
2023-01-12,iPhone 13,West,4,120000,480000,310593.6418676786,169406.3581323214
2023-01-12,iPhone 13,West,14,90000,1260000,993679.9527990471,266320.0472009529
2023-01-12,iPhone 13,East,19,70000,1330000,1057049.172557821,272950.82744217897
2023-01-12,iPhone 14,West,18,70000,1260000,759078.2528971366,500921.7471028634
2023-01-12,iPhone 13,North,7,70000,490000,371358.64056750346,118641.35943249654
2023-01-12,iPhone 15 Pro,South,10,80000,800000,625305.2387219846,174694.76127801544
2023-01-12,iPhone 14,West,17,90000,1530000,978755.418483621,551244.581516379
2023-01-12,iPhone 13,South,3,70000,210000,150417.15480301363,59582.84519698637
2023-01-12,iPhone 14,West,11,90000,990000,650048.9994301186,339951.0005698814
2023-01-13,iPhone 15 Pro,South,11,70000,770000,649173.2767347507,120826.72326524928
2023-01-13,iPhone 15,South,15,90000,1350000,889616.5425106722,460383.45748932776
2023-01-13,iPhone 14,East,13,90000,1170000,786547.0468866404,383452.95311335963
2023-01-13,iPhone 15 Pro,North,14,80000,1120000,844336.7574159441,275663.2425840559
2023-01-13,iPhone 15 Pro,East,4,120000,480000,364395.4942134058,115604.50578659418
2023-01-13,iPhone 15 Pro,West,2,90000,180000,137760.2688774862,42239.7311225138
2023-01-13,iPhone 15,East,10,120000,1200000,891641.324149606,308358.67585039395
2023-01-13,iPhone 13,West,9,120000,1080000,865227.606878484,214772.39312151598
2023-01-13,iPhone 15 Pro,North,6,120000,720000,509206.2673932287,210793.7326067713
2023-01-14,iPhone 15,West,2,90000,180000,141887.59244617092,38112.40755382908
2023-01-14,iPhone 13,East,15,90000,1350000,1005014.7583666695,344985.2416333305
2023-01-14,iPhone 13,South,17,90000,1530000,922749.1541073044,607250.8458926956
2023-01-14,iPhone 14,East,1,120000,120000,90540.66836044537,29459.331639554628
2023-01-14,iPhone 13,East,7,70000,490000,331394.87694691087,158605.12305308913
2023-01-14,iPhone 14,South,3,120000,360000,238658.2918909878,121341.7081090122
2023-01-15,iPhone 14,South,10,80000,800000,629394.920937354,170605.07906264602
2023-01-15,iPhone 13,West,2,90000,180000,149715.54508162863,30284.454918371368
2023-01-15,iPhone 15 Pro,West,14,90000,1260000,1035533.3543002235,224466.64569977648
2023-01-15,iPhone 13,North,13,90000,1170000,856873.7430959727,313126.2569040273
2023-01-15,iPhone 15,North,13,80000,1040000,778569.5750949372,261430.42490506277
2023-01-15,iPhone 13,West,4,120000,480000,320284.0258531093,159715.9741468907
2023-01-16,iPhone 15,South,18,80000,1440000,1028453.8774342752,411546.12256572477
2023-01-16,iPhone 14,South,6,70000,420000,317166.8799726798,102833.12002732023
2023-01-16,iPhone 15,North,12,80000,960000,615927.0538348132,344072.9461651868
2023-01-16,iPhone 15 Pro,East,3,90000,270000,217820.9392124139,52179.06078758609
2023-01-16,iPhone 15 Pro,East,8,70000,560000,347753.7984299262,212246.20157007378
2023-01-17,iPhone 14,North,15,80000,1200000,757986.3365072319,442013.6634927681
2023-01-17,iPhone 15 Pro,South,12,120000,1440000,1150362.3449439313,289637.6550560687
2023-01-17,iPhone 14,North,12,120000,1440000,1067481.497221499,372518.502778501
2023-01-17,iPhone 15,West,14,80000,1120000,737624.0441930656,382375.9558069344
2023-01-17,iPhone 13,West,13,70000,910000,623647.8522114507,286352.1477885493
2023-01-17,iPhone 15,North,10,80000,800000,545557.2138323514,254442.78616764862
2023-01-17,iPhone 14,West,13,80000,1040000,838992.2407946534,201007.75920534658
2023-01-17,iPhone 13,South,17,90000,1530000,958408.3896928674,571591.6103071326
2023-01-17,iPhone 15 Pro,West,16,70000,1120000,738073.1615934463,381926.8384065537
2023-01-17,iPhone 15,South,3,80000,240000,165349.82272005966,74650.17727994034
2023-01-17,iPhone 13,North,17,70000,1190000,930154.7857275186,259845.2142724814
2023-01-17,iPhone 15 Pro,North,8,120000,960000,757240.4621508786,202759.53784912138
2023-01-18,iPhone 14,East,17,70000,1190000,810371.888247813,379628.111752187
2023-01-18,iPhone 14,West,1,120000,120000,98914.86584482844,21085.13415517156
2023-01-18,iPhone 15,East,18,120000,2160000,1417219.4706656733,742780.5293343267
2023-01-19,iPhone 14,West,3,70000,210000,162611.29850877295,47388.70149122705
2023-01-19,iPhone 13,East,8,70000,560000,389309.7228428953,170690.2771571047
2023-01-19,iPhone 15 Pro,South,5,120000,600000,459830.1000255021,140169.8999744979
2023-01-19,iPhone 15 Pro,East,7,120000,840000,632819.5149194587,207180.48508054134
2023-01-19,iPhone 14,North,4,70000,280000,197561.97144992225,82438.02855007775
2023-01-19,iPhone 14,North,5,70000,350000,289321.4303104553,60678.569689544674
2023-01-19,iPhone 15,East,10,90000,900000,697921.50475222,202078.49524778
2023-01-19,iPhone 15,North,1,70000,70000,42388.86119159892,27611.138808401083
2023-01-19,iPhone 14,North,3,120000,360000,233306.25509079717,126693.74490920283
2023-01-19,iPhone 13,West,6,70000,420000,328197.64413604833,91802.35586395167
2023-01-19,iPhone 13,West,18,90000,1620000,1000750.6224163115,619249.3775836885
2023-01-20,iPhone 15 Pro,West,3,80000,240000,168073.7999767015,71926.2000232985
2023-01-20,iPhone 13,East,13,70000,910000,696933.5995528648,213066.4004471352
2023-01-20,iPhone 14,West,15,120000,1800000,1452648.8291707383,347351.17082926165
2023-01-20,iPhone 15,East,16,90000,1440000,1201745.9347360232,238254.0652639768
2023-01-20,iPhone 13,North,12,90000,1080000,783919.1093880046,296080.89061199536
2023-01-20,iPhone 15,North,9,80000,720000,520216.324418585,199783.675581415
2023-01-20,iPhone 14,East,18,80000,1440000,873370.6379341685,566629.3620658315
2023-01-20,iPhone 13,East,6,80000,480000,356869.36872400774,123130.63127599226
2023-01-21,iPhone 13,North,18,90000,1620000,1060071.4391595775,559928.5608404225
2023-01-21,iPhone 15,South,14,80000,1120000,759731.7930023683,360268.2069976317
2023-01-21,iPhone 15,East,15,70000,1050000,677931.7469103636,372068.25308963645
2023-01-21,iPhone 15,North,15,90000,1350000,1035627.2342255632,314372.76577443676
2023-01-21,iPhone 13,East,4,70000,280000,236033.98910879792,43966.01089120208
2023-01-21,iPhone 14,East,15,120000,1800000,1189907.7606396792,610092.2393603208
2023-01-21,iPhone 13,South,5,70000,350000,287839.6905244169,62160.30947558308
2023-01-21,iPhone 13,West,18,70000,1260000,1049335.799141353,210664.200858647
2023-01-22,iPhone 13,West,14,70000,980000,703992.2776203771,276007.72237962286
2023-01-22,iPhone 15 Pro,South,4,70000,280000,237851.92957599222,42148.070424007776
2023-01-22,iPhone 13,South,1,70000,70000,50946.24618053537,19053.753819464633
2023-01-22,iPhone 14,West,9,80000,720000,597935.9583927046,122064.0416072954
2023-01-22,iPhone 15,South,18,90000,1620000,988259.8468616399,631740.1531383601
2023-01-22,iPhone 14,North,3,80000,240000,166417.0663386185,73582.93366138151
2023-01-22,iPhone 14,East,2,90000,180000,145415.39554104098,34584.60445895902
2023-01-22,iPhone 15 Pro,East,14,120000,1680000,1182616.842823753,497383.1571762471
2023-01-22,iPhone 15,North,17,120000,2040000,1555927.5630068223,484072.43699317775
2023-01-22,iPhone 15 Pro,North,16,70000,1120000,882366.0427826095,237633.95721739053
2023-01-22,iPhone 15,West,16,70000,1120000,799352.3362828218,320647.66371717816
2023-01-23,iPhone 13,North,12,90000,1080000,873181.8665298142,206818.1334701858
2023-01-23,iPhone 13,East,1,90000,90000,63082.65729654063,26917.34270345937
2023-01-23,iPhone 13,North,15,90000,1350000,1084801.7232246613,265198.2767753387
2023-01-23,iPhone 15,East,11,80000,880000,576854.3383991063,303145.6616008937
2023-01-23,iPhone 15 Pro,South,8,80000,640000,440025.8451148852,199974.1548851148
2023-01-23,iPhone 13,North,9,120000,1080000,891865.800337263,188134.19966273697
2023-01-23,iPhone 15,South,6,70000,420000,318256.49031797575,101743.50968202425
2023-01-23,iPhone 15 Pro,South,5,120000,600000,362524.99797908426,237475.00202091574
2023-01-24,iPhone 15,North,2,90000,180000,140444.92890202068,39555.07109797932
2023-01-25,iPhone 13,West,16,70000,1120000,817990.5261536217,302009.47384637827
2023-01-25,iPhone 15 Pro,East,16,80000,1280000,1007254.9664256505,272745.0335743495
2023-01-25,iPhone 13,North,3,120000,360000,291081.4586676576,68918.54133234243
2023-01-25,iPhone 15 Pro,North,13,120000,1560000,1129233.90959548,430766.09040452004
2023-01-25,iPhone 13,North,4,90000,360000,291848.8892535271,68151.1107464729
2023-01-25,iPhone 15 Pro,North,18,70000,1260000,955737.7381484471,304262.2618515529
2023-01-25,iPhone 13,West,8,120000,960000,778880.4292854342,181119.5707145658
2023-01-25,iPhone 15 Pro,North,9,120000,1080000,725983.500608391,354016.499391609
2023-01-25,iPhone 14,East,8,70000,560000,404941.9165213102,155058.08347868978
2023-01-26,iPhone 14,North,5,120000,600000,365697.33314402925,234302.66685597075
2023-01-26,iPhone 15 Pro,North,19,80000,1520000,1271236.0910934824,248763.90890651755
2023-01-26,iPhone 15,South,11,90000,990000,799453.9355487603,190546.06445123965
2023-01-26,iPhone 14,East,1,80000,80000,62795.89985315718,17204.100146842822
2023-01-26,iPhone 15 Pro,East,17,80000,1360000,1005246.0053812998,354753.99461870024
2023-01-26,iPhone 14,North,6,90000,540000,327555.72473605454,212444.27526394546
2023-01-27,iPhone 15 Pro,West,6,70000,420000,323246.9131280297,96753.08687197033
2023-01-27,iPhone 15 Pro,South,4,90000,360000,269513.860855408,90486.13914459199
2023-01-27,iPhone 14,North,17,120000,2040000,1563990.2075066315,476009.7924933685
2023-01-27,iPhone 15,South,7,120000,840000,595869.5027818766,244130.4972181234
2023-01-27,iPhone 15 Pro,South,15,80000,1200000,838969.1150391243,361030.88496087573
2023-01-28,iPhone 14,North,9,120000,1080000,665547.3702914675,414452.6297085325
2023-01-28,iPhone 14,East,16,70000,1120000,727217.6512246802,392782.34877531976
2023-01-28,iPhone 15 Pro,East,17,90000,1530000,1189341.9600585566,340658.03994144336
2023-01-28,iPhone 15 Pro,West,4,90000,360000,221125.7580566113,138874.2419433887
2023-01-28,iPhone 15 Pro,North,10,120000,1200000,849580.0270090429,350419.9729909571
2023-01-28,iPhone 15,West,4,80000,320000,215801.08040910223,104198.91959089777
2023-01-28,iPhone 14,South,5,70000,350000,283678.3935654831,66321.6064345169
2023-01-29,iPhone 14,South,4,80000,320000,208443.0776556389,111556.92234436111
2023-01-29,iPhone 14,North,4,70000,280000,218740.93539998468,61259.06460001532
2023-01-29,iPhone 13,East,18,120000,2160000,1414296.0838041836,745703.9161958164
2023-01-29,iPhone 15,South,17,90000,1530000,1286497.9672264673,243502.03277353267
2023-01-29,iPhone 14,North,7,90000,630000,480595.5564953944,149404.44350460562
2023-01-29,iPhone 13,North,11,120000,1320000,808949.1541007959,511050.84589920414
2023-01-29,iPhone 13,South,2,90000,180000,111546.30141204334,68453.69858795666
2023-01-29,iPhone 15,West,10,120000,1200000,872916.8116699443,327083.1883300557
2023-01-29,iPhone 15 Pro,North,11,90000,990000,729004.8726027039,260995.12739729614
2023-01-30,iPhone 14,North,13,90000,1170000,840834.586151178,329165.413848822
2023-01-30,iPhone 13,North,11,80000,880000,633716.8954948498,246283.10450515023
2023-01-30,iPhone 14,North,18,120000,2160000,1302240.39174766,857759.60825234
2023-01-31,iPhone 13,South,16,70000,1120000,808663.3736152004,311336.6263847996
2023-01-31,iPhone 15 Pro,West,2,70000,140000,99047.89117247915,40952.108827520846
2023-01-31,iPhone 15,East,15,120000,1800000,1229480.6624564908,570519.3375435092
2023-01-31,iPhone 15,East,16,120000,1920000,1541978.8561934938,378021.1438065062
2023-02-01,iPhone 14,South,11,80000,880000,678080.2965536112,201919.70344638883
2023-02-01,iPhone 15,South,12,80000,960000,718932.1682957965,241067.8317042035
2023-02-01,iPhone 14,West,12,90000,1080000,668195.0949591736,411804.9050408264
2023-02-02,iPhone 15 Pro,North,7,120000,840000,647305.2940106166,192694.7059893834
2023-02-02,iPhone 13,West,15,70000,1050000,721617.4120423914,328382.58795760863
2023-02-02,iPhone 15 Pro,West,8,90000,720000,462055.2972610597,257944.7027389403
2023-02-02,iPhone 15 Pro,East,9,80000,720000,468091.7142391597,251908.28576084028
2023-02-02,iPhone 14,North,17,70000,1190000,964847.128930562,225152.87106943806
2023-02-03,iPhone 14,South,17,80000,1360000,1011625.8220407437,348374.17795925634
2023-02-03,iPhone 15,South,3,90000,270000,212252.96632157546,57747.033678424545
2023-02-03,iPhone 15,South,9,70000,630000,395394.79249323125,234605.20750676875
2023-02-04,iPhone 15 Pro,South,6,80000,480000,395101.3702912982,84898.6297087018
2023-02-04,iPhone 13,West,18,90000,1620000,1062305.877289011,557694.1227109891
2023-02-04,iPhone 13,West,15,120000,1800000,1514878.7813434291,285121.2186565709
2023-02-04,iPhone 15 Pro,West,15,120000,1800000,1453953.0550453987,346046.94495460135
2023-02-04,iPhone 15 Pro,West,12,120000,1440000,1095387.084144513,344612.9158554871
2023-02-04,iPhone 15 Pro,East,19,90000,1710000,1049674.579848252,660325.420151748
2023-02-04,iPhone 15 Pro,West,4,90000,360000,301808.4285060732,58191.57149392681
2023-02-05,iPhone 14,West,8,70000,560000,345840.26596418855,214159.73403581145
2023-02-05,iPhone 14,West,12,90000,1080000,700702.3298544999,379297.6701455001
2023-02-05,iPhone 15 Pro,North,13,80000,1040000,693101.1507725331,346898.84922746685
2023-02-05,iPhone 15,West,14,90000,1260000,1034130.0235919616,225869.9764080384
2023-02-05,iPhone 13,North,14,90000,1260000,828467.1258402725,431532.8741597275
2023-02-06,iPhone 14,West,15,70000,1050000,853243.7217575927,196756.27824240725
2023-02-06,iPhone 14,West,13,120000,1560000,1151527.4869133856,408472.51308661443
2023-02-06,iPhone 15 Pro,West,3,90000,270000,172992.93468555337,97007.06531444663
2023-02-06,iPhone 14,South,17,70000,1190000,741740.3634683541,448259.6365316459
2023-02-06,iPhone 15,West,1,70000,70000,44468.3695793722,25531.6304206278
2023-02-07,iPhone 15 Pro,East,14,70000,980000,685572.8202434678,294427.1797565322
2023-02-07,iPhone 14,West,14,120000,1680000,1181687.0195522653,498312.9804477347
2023-02-07,iPhone 13,West,18,70000,1260000,797323.3077350515,462676.6922649485
2023-02-07,iPhone 14,West,3,120000,360000,264518.01046861144,95481.98953138856
2023-02-07,iPhone 14,West,1,120000,120000,95211.95210813377,24788.047891866227
2023-02-08,iPhone 14,South,5,80000,400000,335565.54252415337,64434.45747584663
2023-02-08,iPhone 13,North,13,90000,1170000,830595.3787535175,339404.6212464825
2023-02-08,iPhone 14,South,11,70000,770000,558330.7529482532,211669.24705174682
2023-02-08,iPhone 14,North,4,120000,480000,403436.6243728885,76563.37562711153
2023-02-08,iPhone 13,West,4,120000,480000,347195.22966752306,132804.77033247694
2023-02-08,iPhone 15,South,4,80000,320000,261556.72822723232,58443.27177276768
2023-02-08,iPhone 13,East,10,70000,700000,549487.9690073214,150512.0309926786
2023-02-08,iPhone 15 Pro,West,12,70000,840000,565301.0188959722,274698.98110402783
2023-02-08,iPhone 15,West,11,80000,880000,622426.3714991739,257573.62850082607
2023-02-08,iPhone 15 Pro,West,18,90000,1620000,1009657.0119601404,610342.9880398596
2023-02-08,iPhone 15 Pro,West,15,80000,1200000,924079.6886185723,275920.3113814277
2023-02-08,iPhone 15 Pro,North,16,80000,1280000,969178.9866958734,310821.01330412657
2023-02-08,iPhone 15 Pro,West,1,80000,80000,56134.84774382623,23865.152256173773
2023-02-08,iPhone 13,South,1,90000,90000,55023.253904385834,34976.746095614166
2023-02-08,iPhone 15 Pro,West,3,80000,240000,194021.83301964158,45978.16698035842
2023-02-08,iPhone 14,North,11,80000,880000,741268.0247645611,138731.9752354389
2023-02-09,iPhone 13,North,5,120000,600000,463131.7358292496,136868.2641707504
2023-02-09,iPhone 14,South,15,120000,1800000,1402141.2946124556,397858.70538754435
2023-02-09,iPhone 15 Pro,South,16,90000,1440000,968201.7099495729,471798.2900504271
2023-02-09,iPhone 14,South,8,90000,720000,577151.1528002969,142848.8471997031
2023-02-09,iPhone 15 Pro,North,6,120000,720000,606785.2436241179,113214.75637588208
2023-02-09,iPhone 14,West,4,120000,480000,308671.77772269456,171328.22227730544
2023-02-09,iPhone 14,South,2,120000,240000,195157.34624856702,44842.65375143298
2023-02-09,iPhone 14,West,9,90000,810000,687267.1776169358,122732.8223830642
2023-02-09,iPhone 15,West,10,80000,800000,589999.4970974715,210000.5029025285
2023-02-10,iPhone 13,North,1,70000,70000,53920.599181234225,16079.400818765775
2023-02-10,iPhone 15,North,3,80000,240000,159918.38220722514,80081.61779277486
2023-02-10,iPhone 15,West,1,70000,70000,54812.09650718603,15187.903492813974
2023-02-10,iPhone 14,South,2,90000,180000,118917.31576290533,61082.68423709467
2023-02-10,iPhone 13,South,19,90000,1710000,1353118.8117743903,356881.1882256097
2023-02-10,iPhone 15 Pro,West,12,120000,1440000,981053.080643214,458946.91935678595
2023-02-10,iPhone 14,East,11,90000,990000,597257.7859293947,392742.21407060535
2023-02-10,iPhone 14,East,1,90000,90000,55128.798978720486,34871.201021279514
2023-02-10,iPhone 15 Pro,South,18,70000,1260000,1038198.0858347284,221801.91416527156
2023-02-10,iPhone 15,East,13,120000,1560000,1191890.2337032089,368109.76629679115
2023-02-10,iPhone 14,North,9,70000,630000,508512.3608191096,121487.6391808904
2023-02-11,iPhone 14,West,19,80000,1520000,1035354.5520783614,484645.4479216386
2023-02-11,iPhone 15 Pro,West,2,80000,160000,126940.76760968413,33059.23239031587
2023-02-11,iPhone 13,South,12,90000,1080000,700861.6278523093,379138.37214769074
2023-02-11,iPhone 15,South,19,90000,1710000,1149957.1825711187,560042.8174288813
2023-02-11,iPhone 13,West,3,120000,360000,232437.50781316185,127562.49218683815
2023-02-12,iPhone 13,South,6,90000,540000,389118.79122273985,150881.20877726015
2023-02-12,iPhone 15 Pro,East,4,70000,280000,196721.39294919404,83278.60705080596
2023-02-12,iPhone 13,North,15,80000,1200000,723940.01211298,476059.98788702
2023-02-12,iPhone 15 Pro,East,17,70000,1190000,817405.0215463563,372594.97845364374
2023-02-12,iPhone 15,South,13,90000,1170000,958210.6731927574,211789.32680724259
2023-02-12,iPhone 14,South,18,70000,1260000,780854.5308641434,479145.4691358566
2023-02-12,iPhone 14,North,10,120000,1200000,741607.9997191009,458392.0002808991
2023-02-12,iPhone 15,East,11,80000,880000,570060.2686014095,309939.7313985905
2023-02-12,iPhone 15 Pro,West,13,70000,910000,671299.2027496648,238700.79725033522
2023-02-13,iPhone 15,South,8,90000,720000,443824.27728131635,276175.72271868365
2023-02-13,iPhone 13,North,1,120000,120000,82853.32603316203,37146.673966837974
2023-02-13,iPhone 15,South,17,70000,1190000,980690.1371263241,209309.86287367588
2023-02-13,iPhone 15 Pro,West,14,120000,1680000,1222805.9902454016,457194.0097545984
2023-02-13,iPhone 13,North,9,90000,810000,557729.6873019409,252270.31269805913
2023-02-13,iPhone 15,East,5,80000,400000,316329.3552558947,83670.64474410529
2023-02-14,iPhone 13,West,19,120000,2280000,1490790.4850561505,789209.5149438495
2023-02-14,iPhone 15 Pro,East,10,90000,900000,754440.2519108531,145559.74808914692
2023-02-14,iPhone 13,South,4,70000,280000,229749.96199581024,50250.03800418976
2023-02-14,iPhone 14,East,8,90000,720000,539482.3878919588,180517.61210804118
2023-02-15,iPhone 14,West,14,70000,980000,778741.1658958343,201258.83410416567
2023-02-15,iPhone 13,North,14,120000,1680000,1370287.4813633726,309712.51863662736
2023-02-15,iPhone 15,North,6,120000,720000,469809.5256322749,250190.47436772508
2023-02-15,iPhone 13,East,1,120000,120000,84468.04400594003,35531.95599405997
2023-02-15,iPhone 15,North,1,120000,120000,89182.59777744487,30817.40222255513
2023-02-16,iPhone 14,West,7,70000,490000,355748.6979724425,134251.3020275575
2023-02-16,iPhone 13,West,12,120000,1440000,1176705.8155726313,263294.1844273687
2023-02-16,iPhone 15 Pro,East,4,90000,360000,266620.4047144277,93379.59528557229
2023-02-16,iPhone 15 Pro,South,17,120000,2040000,1240013.811204498,799986.1887955021
2023-02-16,iPhone 13,West,8,70000,560000,437224.8203191114,122775.1796808886
2023-02-16,iPhone 15,South,12,90000,1080000,693290.9896576927,386709.0103423073
2023-02-16,iPhone 13,East,13,80000,1040000,821976.3713530515,218023.6286469485
2023-02-16,iPhone 15,North,16,80000,1280000,1065753.8622655573,214246.13773444272
2023-02-16,iPhone 13,South,6,90000,540000,405148.1032852888,134851.8967147112
2023-02-16,iPhone 15 Pro,East,19,70000,1330000,930321.8251680007,399678.17483199935
2023-02-16,iPhone 14,West,14,80000,1120000,819220.876189953,300779.12381004705
2023-02-17,iPhone 15,South,12,80000,960000,675432.0988394385,284567.9011605615
2023-02-17,iPhone 14,West,13,90000,1170000,905529.8407434295,264470.1592565705
2023-02-17,iPhone 14,West,16,80000,1280000,877099.4817005426,402900.5182994574
2023-02-17,iPhone 15 Pro,South,4,120000,480000,389236.5615414953,90763.43845850468
2023-02-17,iPhone 15 Pro,West,17,80000,1360000,1118221.899483204,241778.1005167961
2023-02-18,iPhone 14,South,6,90000,540000,405833.9362805386,134166.06371946138
2023-02-18,iPhone 15,East,5,120000,600000,464337.77614553156,135662.22385446844
2023-02-18,iPhone 15 Pro,North,16,120000,1920000,1510513.754570651,409486.2454293489
2023-02-18,iPhone 14,East,7,70000,490000,348993.5218854396,141006.47811456042
2023-02-18,iPhone 14,East,9,70000,630000,428414.6646793994,201585.3353206006
2023-02-18,iPhone 14,South,17,70000,1190000,826500.8054652322,363499.19453476777
2023-02-18,iPhone 13,West,5,90000,450000,362716.80808498774,87283.19191501226
